name,time,area,energyPrice,usage,scale,price,nbFloors,production,consumption
building665,100.0,143.5035445156742,0.0,R,S,1.0,5.0,0.0,4719.224903045639
building666,100.0,215.00912002066835,0.0,R,S,1.0,5.0,0.0,6272.598307734378
building667,100.0,130.04952790118912,0.0,R,S,1.0,5.0,0.0,4409.543711886305
building668,100.0,177.33232506914808,0.0,R,S,1.0,5.0,0.0,5470.816993136435
building669,100.0,96.02667738431116,0.0,R,S,1.0,5.0,0.0,3589.3147297328724
building670,100.0,189.75749099004366,0.0,R,S,1.0,5.0,0.0,5738.824696495549
building671,100.0,0.5712815995646269,0.0,R,M,2.0,7.0,0.0,365.98001988890167
building672,100.0,0.06513953389027494,0.0,O,M,7.0,6.0,0.0,11.722540166275738
building673,100.0,0.4457761473840174,0.0,R,S,1.0,4.0,0.0,77.13906486236206
building674,100.0,3.7821065041554607,0.0,R,S,1.0,4.0,0.0,376.8841744052974
building675,100.0,0.18133752476024867,0.0,R,M,2.0,4.0,0.0,75.9475396210753
building676,100.0,327.9553605124837,0.0,O,S,6.0,3.0,0.0,3070.9992358020927
building677,100.0,132.58162438516223,0.0,O,S,6.0,3.0,0.0,1608.613546154546
building678,100.0,111.97886664442886,0.0,O,S,6.0,3.0,0.0,1433.312848927437
building679,100.0,193.66574462702957,0.0,O,S,6.0,3.0,0.0,2096.047095800878
building680,100.0,100.24727095952093,0.0,R,S,1.0,4.0,0.0,2955.630380839739
building681,100.0,105.35702750856231,0.0,R,S,1.0,4.0,0.0,3056.3667655174777
building682,100.0,102.4141378424234,0.0,R,S,1.0,4.0,0.0,2998.5014685481356
building683,100.0,142.52849903130468,0.0,O,S,6.0,3.0,0.0,1690.9244487947803
building684,100.0,963.8505047004445,0.0,O,L,10.0,6.0,0.0,23582.64114746791
building685,100.0,61.87439385515321,0.0,O,L,10.0,6.0,0.0,3222.7937337591316
building686,100.0,1121.5827207885668,0.0,O,L,10.0,6.0,0.0,26667.69990848203
building687,100.0,456.76403246353743,0.0,R,L,3.0,6.0,0.0,68273.00067596398
building688,100.0,441.0036901402437,0.0,O,S,6.0,2.5,0.0,3195.8795133618837
building689,100.0,1117.6495532218262,0.0,O,S,6.0,2.5,0.0,6647.852857518124
building690,100.0,137.45297613782392,0.0,O,M,7.0,2.0,0.0,1099.3967767334777
building691,100.0,1571.4122217210193,0.0,O,S,6.0,2.5,0.0,8806.158808967679
building692,100.0,933.0830339297756,0.0,O,S,6.0,5.0,0.0,11487.077449809876
building693,100.0,181.57146285137048,0.0,O,S,6.0,2.0,0.0,1335.0450074513658
